"Fecha","Hora","Pais","Entidad","Municipio","Localidad","Nacionalidad","Estatura","Complexion","Sexo","Edad","Señas","Etnia","Discapacidad","Dependencia"
01/01/2007,01:30:00,MEXICO,HIDALGO,ZAPOTLAN DE JUAREZ,ACAYUCA,MEXICANA,1.2,Robusta,MUJER,17,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - HIDALGO
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2007,11:00:00,MEXICO,MICHOACAN,LA PIEDAD,NO ESPECIFICADO,MEXICANA,1.7,Robusta,MUJER,31,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - MICHOACAN
01/01/2007,12:00:00,MEXICO,QUERETARO,JALPAN DE SERRA,JALPAN,MEXICANA,1.43,Delgada,MUJER,35,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - QUERETARO
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
01/01/2008,12:00:00,MEXICO,OAXACA,NO ESPECIFICADO,NO ESPECIFICADO,MEXICANA,NO ESPECIFICADO,No Especificado,MUJER,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,PGJ - OAXACA
